matriz;threads;inicialização;execução;gravação;finalização
500;1;0,002961;0,446369;0,001551;0,000506
500;1;0,000812;0,473582;0,000667;0,000383
500;1;0,000840;0,500556;0,000772;0,000660
500;1;0,000790;0,480453;0,000701;0,000403
500;1;0,000806;0,469286;0,000681;0,000348
500;1;0,000872;0,472989;0,000602;0,000306
500;1;0,000756;0,474868;0,000597;0,000334
500;1;0,000953;0,512961;0,000642;0,000301
500;1;0,000763;0,552665;0,000776;0,000367
500;1;0,000881;0,534672;0,000662;0,000305
500;1;0,001129;0,492966;0,000729;0,000398
500;1;0,000996;0,490277;0,000687;0,000400
500;1;0,000734;0,488461;0,000630;0,000415
500;1;0,001102;0,498655;0,000630;0,000310
500;1;0,000925;0,481572;0,000695;0,000347
500;2;0,000912;0,283815;0,000596;0,000441
500;2;0,000843;0,298492;0,000907;0,000484
500;2;0,000844;0,306522;0,000603;0,000448
500;2;0,000771;0,298161;0,000624;0,000309
500;2;0,000788;0,289089;0,000683;0,000326
500;2;0,001873;0,290569;0,000867;0,000448
500;2;0,000756;0,296638;0,000634;0,000380
500;2;0,000759;0,290751;0,000671;0,000350
500;2;0,001015;0,286412;0,000617;0,000320
500;2;0,001396;0,299624;0,000649;0,000395
500;2;0,000861;0,299526;0,001548;0,000453
500;2;0,000741;0,311687;0,000699;0,000383
500;2;0,000739;0,311189;0,000642;0,000454
500;2;0,000796;0,288624;0,000688;0,000529
500;2;0,000870;0,306277;0,000639;0,000325
500;4;0,000735;0,200431;0,000643;0,000360
500;4;0,000802;0,218695;0,000747;0,000697
500;4;0,001810;0,351636;0,000640;0,000364
500;4;0,000771;0,211253;0,000890;0,000484
500;4;0,001102;0,209170;0,000702;0,000484
500;4;0,000770;0,208219;0,000638;0,000361
500;4;0,000984;0,236725;0,000664;0,000340
500;4;0,000906;0,221220;0,000631;0,000410
500;4;0,000829;0,267273;0,000703;0,000382
500;4;0,000803;0,212775;0,000694;0,000374
500;4;0,000790;0,221947;0,000907;0,000532
500;4;0,000772;0,207722;0,000658;0,000478
500;4;0,000766;0,208273;0,000670;0,001305
500;4;0,000927;0,212380;0,000714;0,000436
500;4;0,000843;0,207740;0,000891;0,000417
500;8;0,000976;0,187452;0,000683;0,000438
500;8;0,000794;0,189752;0,000720;0,000395
500;8;0,000836;0,182292;0,001043;0,001319
500;8;0,000856;0,183897;0,000714;0,000369
500;8;0,001979;0,190899;0,000743;0,000374
500;8;0,000950;0,209836;0,001490;0,000428
500;8;0,000793;0,183349;0,000679;0,000419
500;8;0,001010;0,176386;0,000694;0,000432
500;8;0,001332;0,185043;0,000802;0,000920
500;8;0,001554;0,184080;0,000711;0,000615
500;8;0,000796;0,190945;0,000814;0,000396
500;8;0,000974;0,197127;0,000758;0,000416
500;8;0,000967;0,190032;0,000698;0,000358
500;8;0,000916;0,199241;0,001115;0,000427
500;8;0,000824;0,197577;0,000770;0,000395
1000;1;0,003888;4,896746;0,004651;0,000933
1000;1;0,004708;4,771668;0,002798;0,001168
1000;1;0,002741;4,747784;0,002120;0,001517
1000;1;0,002482;4,670540;0,002253;0,000792
1000;1;0,007354;4,863156;0,001971;0,001032
1000;1;0,002663;5,018163;0,002086;0,000895
1000;1;0,002421;5,443219;0,002301;0,000895
1000;1;0,002535;4,948706;0,002301;0,000920
1000;1;0,002484;4,795462;0,002316;0,001132
1000;1;0,004974;4,706161;0,001954;0,000904
1000;1;0,002533;5,017105;0,002756;0,002111
1000;1;0,002563;5,237495;0,002760;0,000892
1000;1;0,003466;5,022796;0,002915;0,001306
1000;1;0,004714;5,159906;0,002265;0,001464
1000;1;0,002786;5,311922;0,002430;0,000738
1000;2;0,002773;3,037316;0,002426;0,001918
1000;2;0,003368;2,776716;0,002188;0,000729
1000;2;0,002589;3,048360;0,002154;0,000892
1000;2;0,002533;2,957843;0,002108;0,000845
1000;2;0,002418;2,924753;0,002862;0,001315
1000;2;0,004074;3,054047;0,002636;0,000914
1000;2;0,003239;3,053501;0,002422;0,000945
1000;2;0,003196;2,818783;0,002062;0,000913
1000;2;0,002638;2,738123;0,002317;0,000830
1000;2;0,003044;2,973585;0,002248;0,000874
1000;2;0,002956;3,041732;0,003833;0,000846
1000;2;0,002560;3,011699;0,002620;0,001980
1000;2;0,002403;3,070258;0,002409;0,001240
1000;2;0,002298;2,923888;0,002213;0,000826
1000;2;0,002764;3,143414;0,002262;0,001084
1000;4;0,003494;2,078466;0,002340;0,001001
1000;4;0,002449;2,115577;0,003135;0,001668
1000;4;0,003400;2,449413;0,002522;0,000862
1000;4;0,002540;2,032073;0,002202;0,000910
1000;4;0,003279;2,071905;0,002305;0,000850
1000;4;0,003565;2,244109;0,002811;0,000927
1000;4;0,002553;2,062329;0,003158;0,001382
1000;4;0,004414;1,964346;0,002327;0,000915
1000;4;0,002388;2,041718;0,002240;0,002010
1000;4;0,002511;1,933998;0,002358;0,000858
1000;4;0,003844;1,991409;0,002144;0,000727
1000;4;0,003453;2,034977;0,002157;0,000840
1000;4;0,002792;1,920163;0,002230;0,000701
1000;4;0,002467;1,825154;0,002210;0,000791
1000;4;0,002662;1,852562;0,002265;0,000758
1000;8;0,002600;1,691430;0,002228;0,000691
1000;8;0,002688;1,608150;0,002400;0,000830
1000;8;0,002466;1,595891;0,002130;0,000970
1000;8;0,003065;1,655515;0,002506;0,000786
1000;8;0,002583;1,628632;0,003134;0,001034
1000;8;0,003239;1,589035;0,002292;0,000779
1000;8;0,002556;1,599629;0,002834;0,000816
1000;8;0,002835;1,628120;0,002525;0,000992
1000;8;0,002612;1,572396;0,002632;0,000836
1000;8;0,002552;1,581256;0,002746;0,001023
1000;8;0,002659;1,610707;0,002794;0,000874
1000;8;0,002801;1,615851;0,002074;0,000784
1000;8;0,002518;1,582158;0,002215;0,000904
1000;8;0,002720;1,984976;0,002782;0,001502
1000;8;0,003419;1,973403;0,002904;0,000912
2000;1;0,014416;44,778301;0,010016;0,001946
2000;1;0,008781;43,565878;0,008301;0,002895
2000;1;0,006591;42,430925;0,008411;0,001784
2000;1;0,010508;48,990065;0,008628;0,001637
2000;1;0,007863;38,444951;0,008278;0,001556
2000;1;0,007333;38,979011;0,007980;0,001584
2000;1;0,007775;38,602274;0,013034;0,002030
2000;1;0,008487;37,974313;0,007874;0,001443
2000;1;0,007002;38,328911;0,008165;0,001404
2000;1;0,007460;37,299098;0,007705;0,001485
2000;1;0,007468;38,645833;0,007934;0,001527
2000;1;0,007514;38,151874;0,007412;0,001504
2000;1;0,007864;37,139105;0,007658;0,001570
2000;1;0,007448;38,073055;0,008833;0,001712
2000;1;0,009110;38,561743;0,008309;0,001458
2000;2;0,008134;22,999297;0,008031;0,001484
2000;2;0,007744;23,433141;0,009942;0,001653
2000;2;0,006848;22,811070;0,007859;0,001533
2000;2;0,007676;23,306080;0,008033;0,001453
2000;2;0,007637;24,225049;0,012089;0,002142
2000;2;0,012493;23,098002;0,009154;0,001864
2000;2;0,008263;24,086371;0,008309;0,001744
2000;2;0,007576;24,625291;0,007817;0,001513
2000;2;0,007562;25,032444;0,008167;0,001492
2000;2;0,007377;24,057525;0,008758;0,001739
2000;2;0,007235;24,101158;0,008033;0,001474
2000;2;0,007602;24,110097;0,008890;0,001577
2000;2;0,008653;23,220852;0,007974;0,001603
2000;2;0,006925;23,724663;0,007653;0,001564
2000;2;0,006909;23,963372;0,008074;0,001592
2000;4;0,006976;15,397313;0,008208;0,001562
2000;4;0,007715;15,803123;0,007518;0,001623
2000;4;0,007359;16,364995;0,009130;0,001518
2000;4;0,007237;15,761929;0,008043;0,001501
2000;4;0,007771;16,248672;0,007973;0,001515
2000;4;0,007791;16,385166;0,007934;0,001691
2000;4;0,007466;16,851676;0,007685;0,001599
2000;4;0,007301;16,466239;0,007940;0,001472
2000;4;0,007125;17,197038;0,008195;0,001546
2000;4;0,007395;16,013784;0,014187;0,004110
2000;4;0,012303;16,726604;0,008617;0,001563
2000;4;0,007555;16,375939;0,008692;0,001530
2000;4;0,007574;17,188553;0,008165;0,001615
2000;4;0,007116;16,261250;0,007847;0,001474
2000;4;0,008059;16,412813;0,008161;0,001550
2000;8;0,008058;14,749677;0,008547;0,001594
2000;8;0,007654;14,698666;0,010183;0,001583
2000;8;0,006898;14,634600;0,009537;0,001810
2000;8;0,007905;15,179242;0,008333;0,001596
2000;8;0,007479;15,207169;0,009798;0,001821
2000;8;0,007497;15,848869;0,009221;0,001754
2000;8;0,007417;14,911657;0,009368;0,001737
2000;8;0,008861;15,899532;0,010914;0,002196
2000;8;0,008444;15,561647;0,010390;0,002507
2000;8;0,008097;17,114471;0,009400;0,001986
2000;8;0,007534;15,517481;0,010782;0,001757
2000;8;0,008629;14,776633;0,009367;0,001760
2000;8;0,008194;14,849310;0,009075;0,001923
2000;8;0,007887;15,222163;0,009923;0,002653
2000;8;0,007699;14,846016;0,018193;0,003365
500;0;0,001635;0,544659;0,000829;0,000132
500;0;0,001312;0,468239;0,000728;0,000321
500;0;0,000744;0,477949;0,000615;0,000309
500;0;0,000801;0,434650;0,000710;0,000349
500;0;0,000928;0,453702;0,000640;0,000334
500;0;0,000863;0,439507;0,000597;0,000296
500;0;0,000861;0,462240;0,000614;0,000310
500;0;0,000866;0,450651;0,000652;0,000382
500;0;0,000828;0,459167;0,000626;0,000350
500;0;0,000715;0,453696;0,000664;0,000399
500;0;0,000794;0,446396;0,000620;0,000389
500;0;0,000798;0,455683;0,000631;0,000333
500;0;0,000946;0,437711;0,000613;0,000306
500;0;0,000793;0,432294;0,000578;0,000372
500;0;0,000836;0,439715;0,000577;0,000302
1000;0;0,004747;3,898939;0,002300;0,000850
1000;0;0,002516;3,903674;0,001981;0,000824
1000;0;0,002785;3,941395;0,002044;0,000780
1000;0;0,002233;3,954635;0,002228;0,000711
1000;0;0,002679;3,846676;0,002001;0,000723
